Sort_Date,Plot_Treatment,Plot_Replicate,Drought_Treatment,Plot_ID,Footprint_Full,Sample_Date,Sample_Week,Days_Since_Irrigation,Genus,Epithet,Species,Reproductive_Yes1_No0,Number,Voucher,Sorter,Notes
7/21/2021,T2,R4,VR,T2_R4_VR,Variable Rainfall,7/19/2021,3,12,Solenopsis,molesta,Solenopsis molesta,0,1,NHKBS3283,JDS,
8/11/2021,T7,R1,VR,T7_R1_VR,Variable Rainfall,7/21/2021,3,2,Myrmica,detritinodis,Myrmica detritinodis,0,1,NHKBS3421,JDS,
8/11/2021,T7,R1,VR,T7_R1_VR,Variable Rainfall,7/21/2021,3,2,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3422,JDS,
8/11/2021,T7,R1,IR,T7_R1_IR,Control (irrigated),7/21/2021,3,6,Aphaenogaster,picea,Aphaenogaster picea,0,5,NHKBS3432,JDS,
8/11/2021,T7,R1,IR,T7_R1_IR,Control (irrigated),7/21/2021,3,6,Solenopsis,molesta,Solenopsis molesta,0,1,NHKBS3433,JDS,
8/30/2021,T1,R2,VR,T1_R2_VR,Variable Rainfall,7/26/2021,4,6,Tetramorium,immigrans,Tetramorium immigrans,0,2,NHKBS3490,JDS,
8/30/2021,T1,R2,VR,T1_R2_VR,Variable Rainfall,7/26/2021,4,6,Solenopsis,molesta,Solenopsis molesta,0,1,NHKBS3491,JDS,
8/2/2021,T2,R3,VR,T2_R3_VR,Variable Rainfall,7/26/2021,4,6,No ants,NULL,NULL,NULL,NULL,NULL,JDS,no ants
8/25/2021,T7,R3,IR,T7_R3_IR,Control (irrigated),7/26/2021,4,3,Myrmica,americana,Myrmica americana,0,1,NHKBS3457,JDS,
8/25/2021,T7,R3,IR,T7_R3_IR,Control (irrigated),7/26/2021,4,3,Formica,pallidefulva,Formica pallidefulva,0,1,NHKBS3458,JDS,"Changed ID from Formica sp to F. pallidefulva, 14 Oct 21, JDS"
8/25/2021,T1,R1,VR,T1_R1_VR,Variable Rainfall,7/26/2021,4,6,Tetramorium,immigrans,Tetramorium immigrans,0,3,NHKBS3467,JDS,
8/27/2021,T2,R4,D1,T2_R4_D1,Y1 Drought (soy),7/26/2021,4,11,Solenopsis,molesta,Solenopsis molesta,0,4,NHKBS3478,JDS,
8/27/2021,T2,R4,D1,T2_R4_D1,Y1 Drought (soy),7/26/2021,4,11,Tetramorium,immigrans,Tetramorium immigrans,0,1,NHKBS3479,JDS,
8/30/2021,T1,R4,IR,T1_R4_IR,Control (irrigated),7/26/2021,4,3,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3492,JDS,
8/30/2021,T1,R3,IR,T1_R3_IR,Control (irrigated),7/26/2021,4,3,Tetramorium,immigrans,Tetramorium immigrans,0,1,NHKBS3493,JDS,
8/30/2021,T7,R1,VR,T7_R1_VR,Variable Rainfall,7/26/2021,4,6,Lasius,neoniger,Lasius neoniger,0,7,NHKBS3494,JDS,
8/30/2021,T7,R1,VR,T7_R1_VR,Variable Rainfall,7/26/2021,4,6,Myrmica,americana,Myrmica americana,0,2,NHKBS3495,JDS,
8/30/2021,T2,R1,IR,T2_R1_IR,Control (irrigated),7/26/2021,4,3,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3498,JDS,
8/30/2021,T2,R1,IR,T2_R1_IR,Control (irrigated),7/26/2021,4,3,Tetramorium,immigrans,Tetramorium immigrans,0,2,NHKBS3499,JDS,
8/31/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),8/16/2021,8,32,Tetramorium,immigrans,Tetramorium immigrans,0,6,NHKBS3503,JDS,
8/31/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),8/16/2021,8,32,Aphaenogaster,rudis,Aphaenogaster rudis,0,5,NHKBS3504,JDS,
8/31/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),8/16/2021,8,32,Brachymyrmex,depilis,Brachymyrmex depilis,0,3,NHKBS3505,JDS,
8/31/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),8/16/2021,8,3,Aphaenogaster,rudis,Aphaenogaster rudis,0,2,NHKBS3516,JDS,
8/31/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),8/16/2021,8,3,Myrmica,americana,Myrmica americana,0,23,NHKBS3517,JDS,
8/31/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),8/16/2021,8,3,Lasius,neoniger,Lasius neoniger,0,2,NHKBS3518,JDS,
8/31/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),8/16/2021,8,3,Nylanderia,parvula,Nylanderia parvula,0,15,NHKBS3519,JDS,
8/31/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),8/16/2021,8,3,Solenopsis,molesta,Solenopsis molesta,0,3,NHKBS3520,JDS,
